t,h,y,y_potential,y_autonomous,r_expected,r_cb,r_natural,pi,pi_expected,pi_long_run,pi_target,gamma,theta,alpha,phi_pi,phi_y,chi,eta
81,1.3322676295501878e-15,1.0009090909090894,1.000909090909088,1.11,0.05454545454545534,0.054545454545454855,0.05454545454545601,0.03500000000000066,0.03500000000000033,0.035000000000000094,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
82,8.881784197001252e-16,1.000909090909089,1.000909090909088,1.11,0.05454545454545555,0.05454545454545519,0.05454545454545601,0.03500000000000047,0.035000000000000246,0.03500000000000007,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
83,6.661338147750939e-16,1.0009090909090888,1.000909090909088,1.11,0.054545454545455674,0.05454545454545541,0.05454545454545601,0.03500000000000034,0.03500000000000018,0.03500000000000005,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
84,4.440892098500626e-16,1.0009090909090885,1.000909090909088,1.11,0.054545454545455764,0.05454545454545558,0.05454545454545601,0.03500000000000024,0.03500000000000013,0.035000000000000045,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
85,4.440892098500626e-16,1.0009090909090885,1.000909090909088,1.11,0.054545454545455827,0.05454545454545569,0.05454545454545601,0.035000000000000205,0.035000000000000094,0.03500000000000003,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
86,2.220446049250313e-16,1.0009090909090883,1.000909090909088,1.11,0.054545454545455924,0.0545454545454558,0.05454545454545601,0.03500000000000014,0.03500000000000009,0.03500000000000003,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
87,2.220446049250313e-16,1.0009090909090883,1.000909090909088,1.11,0.05454545454545594,0.054545454545455854,0.05454545454545601,0.035000000000000114,0.03500000000000006,0.035000000000000024,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
88,0.0,1.000909090909088,1.000909090909088,1.11,0.05454545454545597,0.05454545454545591,0.05454545454545601,0.035000000000000045,0.035000000000000045,0.03500000000000002,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
89,2.220446049250313e-16,1.0009090909090883,1.000909090909088,1.11,0.05454545454545593,0.05454545454545591,0.05454545454545601,0.03500000000000007,0.03500000000000002,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
90,0.0,1.000909090909088,1.000909090909088,1.11,0.05454545454545601,0.054545454545455965,0.05454545454545601,0.03500000000000003,0.03500000000000003,0.03500000000000002,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
91,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455986,0.054545454545455965,0.05454545454545601,0.03500000000000002,0.03500000000000002,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
92,0.0,1.000909090909088,1.000909090909088,1.11,0.05454545454545598,0.054545454545455965,0.05454545454545601,0.03500000000000001,0.03500000000000001,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
93,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
94,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
95,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
96,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
97,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
